image_original_filename;slug;english_name;sanskrit_name;sanskrit_name_simplified;pronunciation;short_description;description;benefits;cautions;contraindications;step_by_step;alignment_cues;modifications;variations;tags;equipment;difficulty;pose_type;primary_focus;secondary_focus;duration_hint_seconds;is_peak_pose;is_warmup;is_cooldown;is_bilateral;status;meta_title;meta_description;image_alt
FLOW-3-4-5-6.001.png;extended-hand-to-big-toe-pose;Extended Hand-to-Big-Toe Pose;Utthita Hasta Padangusthasana;Utthita Hasta Padangusthasana;oot-TEE-tah HAH-stah pah-dahn-goos-TAHS-uh-nuh;A standing balance holding the big toe.;A standing balance posture that improves hamstring flexibility, hip stability, and focus.;Stretches hamstrings|Improves balance|Strengthens standing leg;Avoid rounding spine|Use strap if needed;Hamstring injury|Balance issues without support;Stand tall|Lift knee|Extend leg and hold toe|Breathe steadily;Hips square|Spine tall|Foot flexed;Use strap|Bend knee slightly;Side variation|Revolved variation;balance|hamstrings|standing;strap;advanced;balancing;hamstrings;core;30;true;false;false;true;draft;Extended Hand-to-Big-Toe Pose (Utthita Hasta Padangusthasana);How to practice Extended Hand-to-Big-Toe Pose with alignment tips and benefits.;Extended Hand-to-Big-Toe Pose balancing on one leg holding lifted foot.
FLOW-3-4-5-6.002.png;upward-salute;Upward Salute;Urdhva Hastasana;Urdhva Hastasana;oord-VAH hah-STAH-suh-nuh;A full-body upward stretch.;A foundational standing pose that lengthens the body and connects movement with breath.;Improves posture|Expands lungs|Energizes body;Avoid compressing low back;Shoulder injury (modify);Stand tall|Raise arms overhead|Lift through chest;Ribs stacked|Shoulders relaxed;Bend elbows slightly;Palms apart or together;standing|stretch|breath;none;beginner;standing;full_body;spine;20;false;true;false;true;draft;Upward Salute (Urdhva Hastasana) – Alignment & Benefits;Learn how to do Upward Salute safely with proper alignment.;Upward Salute with arms reaching overhead.
FLOW-3-4-5-6.003.png;half-forward-fold;Half Forward Fold;Ardha Uttanasana;Ardha Uttanasana;AR-dah oot-tahn-AHS-uh-nuh;A lengthening fold with flat back.;A preparatory forward fold that lengthens the spine and hamstrings.;Lengthens spine|Prepares for deeper folds;Do not lock knees;Acute hamstring injury;From standing fold|Lift torso halfway|Lengthen spine;Flat back|Neck long;Hands on shins or blocks;Wall support;forward-fold|warm-up;none;beginner;standing;spine;hamstrings;15;false;true;false;true;draft;Half Forward Fold (Ardha Uttanasana);Ardha Uttanasana explained with alignment cues and benefits.;Half Forward Fold with flat back.
FLOW-3-4-5-6.004.png;half-forward-fold-side-view;Half Forward Fold (Side View);Ardha Uttanasana;Ardha Uttanasana;AR-dah oot-tahn-AHS-uh-nuh;A side view of half forward fold.;A visual reference for spinal alignment in Ardha Uttanasana.;Improves posture awareness;Avoid rounding spine;Low back pain (modify);Lift torso halfway|Lengthen forward;Spine neutral|Hips stacked;Hands on thighs;Block support;forward-fold|alignment;none;beginner;standing;spine;hamstrings;15;false;true;false;true;draft;Half Forward Fold Side View;Side view reference for Ardha Uttanasana alignment.;Side view of Half Forward Fold.
FLOW-3-4-5-6.005.png;standing-forward-fold;Standing Forward Fold;Uttanasana;Uttanasana;oot-tahn-AHS-uh-nuh;A deep forward bend.;A calming forward fold that releases the spine and hamstrings.;Calms nervous system|Stretches back body;Bend knees if tight;Disc issues (modify);Fold from hips|Relax head;Weight forward|Neck relaxed;Hold elbows;Block under hands;forward-fold|cooldown;none;beginner;standing;spine;hamstrings;30;false;false;true;true;draft;Standing Forward Fold (Uttanasana);Uttanasana benefits, steps, and safety tips.;Standing Forward Fold with relaxed upper body.
FLOW-3-4-5-6.006.png;dancer-pose;Dancer Pose;Natarajasana;Natarajasana;nah-tah-rah-JAHS-uh-nuh;A graceful standing backbend and balance.;A balancing backbend that opens the chest and builds strength and focus.;Improves balance|Opens chest|Strengthens legs;Avoid forcing backbend;Knee injury|Balance issues;Stand tall|Lift foot|Reach arm forward;Hips square|Chest lifted;Use strap;Forward-lean variation;balance|backbend;strap;intermediate;balancing;chest;legs;30;true;false;false;true;draft;Dancer Pose (Natarajasana);Dancer Pose explained with alignment and modifications.;Dancer Pose balancing with lifted leg and open chest.
FLOW-3-4-5-6.007.png;prayer-pose-side-view;Prayer Pose (Side View);Pranamasana;Pranamasana;prah-nah-mah-AHS-uh-nuh;A neutral standing posture.;A grounding standing posture emphasizing alignment and breath.;Improves posture|Centers mind;Relax shoulders;None;Stand tall|Hands at heart;Spine vertical;Soften knees;Wall support;standing|foundation;none;beginner;standing;posture;breath;10;false;true;false;true;draft;Prayer Pose (Pranamasana);Foundational standing pose with hands at heart.;Prayer Pose standing side view.
FLOW-3-4-5-6.008.png;mountain-pose-prayer;Mountain Pose (Prayer Hands);Tadasana;Tadasana;tah-DAHS-uh-nuh;A foundational standing pose.;A base posture for alignment and awareness in standing sequences.;Improves alignment|Builds awareness;Avoid locking knees;Balance difficulties;Stand tall|Hands at heart;Weight evenly distributed;Wider stance;Arms by sides;standing|foundation;none;beginner;standing;posture;full_body;20;false;true;false;true;draft;Mountain Pose (Tadasana);Tadasana alignment and benefits explained.;Mountain Pose with hands in prayer.
FLOW-3-4-5-6.009.png;upward-salute-parallel;Upward Salute (Arms Parallel);Urdhva Hastasana;Urdhva Hastasana;oord-VAH hah-STAH-suh-nuh;A vertical stretch with arms apart.;A variation of Upward Salute emphasizing shoulder width.;Improves mobility|Builds awareness;Avoid shoulder tension;Shoulder injury (modify);Raise arms parallel|Lift chest;Shoulders relaxed;Bend elbows;Palms forward;standing|stretch;none;beginner;standing;shoulders;spine;15;false;true;false;true;draft;Upward Salute Arms Parallel;Upward Salute variation with arms parallel.;Upward Salute with arms parallel overhead.
FLOW-3-4-5-6.010.png;upward-salute-palms-together;Upward Salute (Palms Together);Urdhva Hastasana;Urdhva Hastasana;oord-VAH hah-STAH-suh-nuh;A centered upward reach.;A classic Upward Salute variation with palms touching.;Encourages focus|Improves posture;Avoid arching low back;Shoulder discomfort;Raise arms|Press palms gently;Ribs stacked;Separate palms if needed;Arms apart option;standing|stretch;none;beginner;standing;full_body;spine;15;false;true;false;true;draft;Upward Salute Palms Together;Traditional Upward Salute with palms together.;Upward Salute with palms together overhead.
