poses-11-20-fixed
image_original_filename;slug;english_name;sanskrit_name;sanskrit_name_simplified;short_description;description;benefits;cautions;contraindications;step_by_step;alignment_cues;modifications;variations;tags;equipment;difficulty;pose_type;primary_focus;secondary_focus;duration_hint_seconds;is_peak_pose;is_warmup;is_cooldown;is_bilateral;status;meta_title;meta_description;image_alt;image_alt
FLOW-19-24.061.png;reclined-hero-backbend;Reclined Hero Backbend;Supta Virasana;Supta Virasana;A reclined kneeling backbend opening the front body.;This restorative backbend stretches the thighs, hips, and spine.;Stretches quads|Opens hips|Relieves fatigue;Support knees|Avoid lower back compression;Knee injury|Ankle pain;Sit between heels|Lower back slowly|Support spine;Relax jaw|Breathe evenly;Use bolster|Place block;Reclined hero pose;reclined|backbend|hips;yoga mat;intermediate;supine;hips;quads|spine;30;false;false;false;true;published;Reclined Hero Backbend Guide;A supported reclining hero pose.;Yoga practitioner reclining in Hero Pose.;
FLOW-19-24.062.png;reclined-hero-hands-heart;Reclined Hero with Hands at Heart;Supta Virasana;Supta Virasana;A calming reclined hero variation with hands on chest.;This variation encourages breath awareness and gentle chest opening.;Calms nervous system|Opens chest|Improves breath;Support lower back|Avoid knee strain;Knee pain|Lower back injury;Lower to elbows|Rest hands on chest;Soften breath|Release shoulders;Use bolster;Restorative hero pose;reclined|restorative|chest;yoga mat;beginner;supine;chest;relaxation|breath;30;false;false;false;true;published;Reclined Hero Rest Guide;A calming reclined hero posture.;Yoga practitioner resting in Reclined Hero.;
FLOW-19-24.063.png;camel-pose-hands-floor;Camel Pose Hands on Floor;Ustrasana;Ustrasana;A deep kneeling backbend with hands reaching toward the floor.;This strong backbend opens the chest and hip flexors.;Opens chest|Strengthens back|Stretches hips;Protect neck|Engage core;Lower back injury|Neck pain;Kneel upright|Reach hands back|Lift chest;Press hips forward|Relax neck;Use blocks;Deep camel pose;kneeling|backbend|chest;yoga mat;advanced;kneeling;spine;backbend|hips;30;false;false;false;true;published;Camel Pose Floor Guide;A deep and energizing camel pose.;Yoga practitioner in deep Camel Pose.;
FLOW-19-24.064.png;crow-pose-setup;Crow Pose Setup;Bakasana;Bakasana;A preparatory arm balance shifting weight forward.;This setup builds arm strength and balance awareness.;Builds strength|Improves balance|Engages core;Keep elbows bent|Avoid wrist strain;Wrist injury|Shoulder pain;Squat low|Plant hands|Lean forward;Engage core|Lift gaze;Use block;Crow pose prep;armbalance|strength|core;yoga mat;intermediate;arm balance;arms;balance|focus;30;false;false;false;true;published;Crow Pose Setup Guide;Preparation for Crow Pose.;Yoga practitioner preparing for Crow Pose.;
FLOW-19-24.065.png;crow-pose-basic;Crow Pose;Bakasana;Bakasana;A classic arm balance with knees resting on arms.;This pose strengthens arms while cultivating focus and balance.;Strengthens arms|Improves focus|Engages core;Warm wrists|Avoid locking elbows;Wrist injury|Shoulder pain;Bend elbows|Lift feet|Balance forward;Press hands down|Engage core;Use block;Basic crow pose;armbalance|core|focus;yoga mat;intermediate;arm balance;arms;strength|balance;30;false;false;false;true;published;Crow Pose Guide;A foundational arm balance.;Yoga practitioner balancing in Crow Pose.;
FLOW-19-24.066.png;crow-pose-variation;Crow Pose Variation;Bakasana;Bakasana;A dynamic crow variation lifting the feet higher.;This variation challenges stability and arm strength.;Builds strength|Enhances balance|Boosts confidence;Engage shoulders|Avoid wrist collapse;Wrist injury|Shoulder pain;Lean forward|Lift hips|Balance;Press palms|Steady breath;Use block;Advanced crow;armbalance|strength|control;yoga mat;advanced;arm balance;arms;power|balance;30;false;false;false;true;published;Crow Pose Variation Guide;A stronger crow pose variation.;Yoga practitioner in advanced Crow Pose.;
FLOW-19-24.067.png;crow-pose-smile;Crow Pose with Lift;Bakasana;Bakasana;A confident crow pose with lifted legs.;This expression emphasizes control and core engagement.;Improves control|Builds strength|Enhances focus;Keep gaze forward|Protect wrists;Wrist injury|Elbow strain;Shift weight|Lift feet|Balance;Engage core|Steady breath;Use blocks;Crow balance;armbalance|confidence|core;yoga mat;advanced;arm balance;core;balance|strength;30;false;false;false;true;published;Crow Pose Balance Guide;A strong and balanced crow pose.;Yoga practitioner holding Crow Pose.;
FLOW-19-24.068.png;crow-pose-extended-leg;Extended Leg Crow;Bakasana;Bakasana;An advanced crow variation extending one leg.;This variation increases strength, balance, and coordination.;Strengthens arms|Improves coordination|Builds confidence;Maintain shoulder stability|Avoid rushing;Wrist injury|Shoulder pain;Lift one leg|Balance body|Engage core;Press palms|Breathe steadily;Use block;One-leg crow;armbalance|advanced|core;yoga mat;advanced;arm balance;arms;control|focus;30;false;false;false;true;published;Extended Crow Guide;A one-leg crow pose variation.;Yoga practitioner in extended Crow Pose.;
FLOW-19-24.069.png;crow-pose-side-angle;Side Crow Pose;Parsva Bakasana;Parsva Bakasana;A twisting arm balance with knees stacked on one arm.;This twist builds arm strength and spinal mobility.;Improves digestion|Builds strength|Enhances balance;Twist gently|Protect wrists;Wrist injury|Lower back pain;Twist torso|Bend elbows|Lift feet;Engage obliques|Breathe;Use block;Side crow;twist|armbalance|core;yoga mat;advanced;arm balance;core;twist|balance;30;false;false;false;true;published;Side Crow Guide;A twisting crow arm balance.;Yoga practitioner in Side Crow Pose.;
FLOW-19-24.070.png;crow-pose-leg-extended;Side Crow Extended Leg;Parsva Bakasana;Parsva Bakasana;An advanced side crow with extended leg.;This powerful variation demands strength, balance, and focus.;Builds power|Enhances balance|Strengthens core;Move slowly|Protect shoulders;Wrist injury|Shoulder pain;Twist deeply|Extend leg|Balance;Press hands|Stay focused;Use block;Advanced side crow;armbalance|twist|power;yoga mat;advanced;arm balance;arms;strength|control;30;false;false;false;true;published;Advanced Side Crow Guide;A strong extended side crow pose.;Yoga practitioner in extended Side Crow Pose.;
