image_original_filename;slug;english_name;sanskrit_name;sanskrit_name_simplified;pronunciation;short_description;description;benefits;cautions;contraindications;step_by_step;alignment_cues;modifications;variations;tags;equipment;difficulty;pose_type;primary_focus;secondary_focus;duration_hint_seconds;is_peak_pose;is_warmup;is_cooldown;is_bilateral;status;meta_title;meta_description;image_alt
FLOW-3-4-5-6.001.png;extended-hand-to-big-toe-pose;Extended Hand-to-Big-Toe Pose;Utthita Hasta Padangusthasana;Utthita Hasta Padangusthasana;oot-TEE-tah HAH-stah pah-dahn-goos-TAHS-uh-nuh;Standing balance holding the lifted foot.;A standing balance pose that improves hamstring flexibility, hip stability, and focus while maintaining an upright spine.;Stretches hamstrings|Improves balance|Strengthens standing leg|Enhances focus;Avoid rounding spine|Use strap if needed;Hamstring injury|Severe balance issues;Stand tall|Lift one knee|Extend leg and hold foot|Breathe steadily;Spine tall|Hips level|Foot flexed;Use strap|Bend knee slightly;Open leg to side;balance|hamstrings|standing;strap;intermediate;balancing;hamstrings;legs|core;30;true;false;false;true;published;Extended Hand-to-Big-Toe Pose – Balance & Flexibility;Learn how to safely practice Utthita Hasta Padangusthasana for balance and hamstring flexibility.;Extended Hand-to-Big-Toe Pose balancing on one leg holding the foot.
FLOW-3-4-5-6.002.png;upward-salute;Upward Salute;Urdhva Hastasana;Urdhva Hastasana;oord-VAH hah-STAH-suh-nuh;Standing reach with arms overhead.;A foundational standing pose that lengthens the spine, opens the shoulders, and energizes the body through upward extension.;Improves posture|Opens shoulders|Energizes body;Avoid rib flare|Keep shoulders relaxed;Shoulder pain (modify);Stand tall|Raise arms overhead|Gaze up softly;Ribs stacked|Weight even;Wider stance;Prayer hands stretch;warm-up|standing;none;beginner;standing;full_body;shoulders|core;20;false;true;false;true;published;Upward Salute (Urdhva Hastasana);Upward Salute stretches the whole body and builds awareness in standing posture.;Upward Salute with arms extended overhead.
FLOW-3-4-5-6.003.png;half-forward-fold;Half Forward Fold;Ardha Uttanasana;Ardha Uttanasana;AR-dah oot-tahn-AHS-uh-nuh;Lengthened spine forward fold.;A transitional pose that elongates the spine and prepares the body for deeper forward folds or standing poses.;Lengthens spine|Improves posture|Prepares for folds;Avoid locking knees;Severe back pain;Bend forward halfway|Hands to shins|Spine long;Flat back|Neck neutral;Hands on blocks;Dynamic flow transition;transition|spine;blocks;beginner;standing;spine;hamstrings;20;false;true;false;true;published;Half Forward Fold (Ardha Uttanasana);Ardha Uttanasana builds spinal length and awareness between poses.;Half Forward Fold with flat back.
FLOW-3-4-5-6.004.png;standing-forward-fold;Standing Forward Fold;Uttanasana;Uttanasana;oot-tahn-AHS-uh-nuh;Deep standing forward bend.;A calming forward fold that releases the spine and hamstrings while encouraging relaxation.;Stretches hamstrings|Calms nervous system;Avoid locking knees;Hamstring injury;Hinge forward|Relax head|Hold and breathe;Weight forward|Spine relaxed;Bend knees;Rag doll variation;forward-fold|relaxation;none;beginner;standing;hamstrings;spine;30;false;false;true;true;published;Standing Forward Fold (Uttanasana);Uttanasana releases tension and calms the body through gentle inversion.;Standing Forward Fold with relaxed spine.
FLOW-3-4-5-6.005.png;standing-forward-fold-deep;Deep Forward Fold;Uttanasana (Deep);Uttanasana;oot-tahn-AHS-uh-nuh;Deeper variation of standing fold.;A deeper version of Uttanasana emphasizing release and flexibility in the posterior chain.;Increases flexibility|Relieves tension;Avoid forcing stretch;Disc issues;Fold deeply|Hold ankles|Relax neck;Weight balanced;Use blocks;Rag doll hold;deep-stretch|flexibility;none;intermediate;standing;hamstrings;spine;40;false;false;true;true;published;Deep Forward Fold;Deep standing forward fold for flexibility and release.;Deep forward fold with hands near ankles.
FLOW-3-4-5-6.006.png;dancer-pose;Dancer Pose;Natarajasana;Natarajasana;nah-tah-rah-JAHS-uh-nuh;Standing balance with backbend.;A graceful balance pose that opens the chest and builds strength, flexibility, and focus.;Improves balance|Opens chest|Strengthens legs;Avoid collapsing low back;Knee injury;Stand tall|Hold foot back|Lift chest;Hips square|Chest open;Use strap;Half dancer;balance|backbend;strap;intermediate;balancing;chest;legs|spine;45;true;false;false;true;published;Dancer Pose (Natarajasana);Natarajasana builds balance, flexibility, and graceful strength.;Dancer Pose with lifted leg and open chest.
FLOW-3-4-5-6.007.png;prayer-pose;Prayer Pose;Pranamasana;Pranamasana;prah-nah-MAHS-uh-nuh;Centered standing posture.;A grounding pose often used at the beginning or end of practice to cultivate focus and intention.;Improves focus|Centers mind;None;None;Stand tall|Hands to heart|Breathe evenly;Spine upright;Wall support;Transition pose;centering|standing;none;beginner;standing;full_body;spine;15;false;false;false;true;published;Prayer Pose (Pranamasana);Pranamasana cultivates grounding and focus in standing.;Standing Prayer Pose with hands at heart.
FLOW-3-4-5-6.008.png;mountain-pose;Mountain Pose;Tadasana;Tadasana;tah-DAHS-uh-nuh;Foundational standing alignment pose.;A base posture for all standing poses, emphasizing alignment, grounding, and steady breath.;Improves posture|Builds awareness;Avoid locking knees;Balance issues;Stand tall|Ground feet|Lift crown;Weight even;Wall support;Heel raises;foundation|standing;none;beginner;standing;full_body;core;30;false;false;false;true;published;Mountain Pose (Tadasana);Tadasana teaches alignment and grounded stability.;Mountain Pose standing tall with neutral posture.
FLOW-3-4-5-6.009.png;upward-salute-open;Upward Salute (Open Arms);Urdhva Hastasana;Urdhva Hastasana;oord-VAH hah-STAH-suh-nuh;Standing reach with open arms.;An expansive variation of Upward Salute that opens the chest and shoulders.;Opens chest|Energizes body;Avoid rib flare;Shoulder pain;Raise arms wide|Gaze up softly;Ribs stacked;Wider stance;Prayer to open arms;warm-up|standing;none;beginner;standing;chest;shoulders;20;false;true;false;true;published;Upward Salute – Open Arms;Open-arm variation of Upward Salute for chest opening.;Upward Salute with arms open overhead.
FLOW-3-4-5-6.010.png;upward-salute-prayer;Upward Salute (Prayer Hands);Urdhva Hastasana;Urdhva Hastasana;oord-VAH hah-STAH-suh-nuh;Standing reach with palms together.;A focused variation of Upward Salute with palms together, encouraging inner lift and concentration.;Improves focus|Lengthens spine;Avoid shoulder tension;Shoulder injury;Reach arms up|Palms together|Breathe deeply;Shoulders relaxed;Separate hands;Flow transition;warm-up|standing;none;beginner;standing;spine;shoulders;20;false;true;false;true;published;Upward Salute – Prayer Hands;Prayer-hand variation of Upward Salute for focus and lift.;Upward Salute with palms together overhead.
