poses-11-20-fixed
image_original_filename;slug;english_name;sanskrit_name;sanskrit_name_simplified;short_description;description;benefits;cautions;contraindications;step_by_step;alignment_cues;modifications;variations;tags;equipment;difficulty;pose_type;primary_focus;secondary_focus;duration_hint_seconds;is_peak_pose;is_warmup;is_cooldown;is_bilateral;status;meta_title;meta_description;image_alt;image_alt
FLOW-7-8-9-10-11-12-13-14.111.png;seated-side-stretch;Seated Side Stretch;Parsva Sukhasana;Parsva Sukhasana;A gentle seated side bend that lengthens the spine and opens the ribs.;Seated Side Stretch is a calming lateral stretch performed from a seated position. It helps release tension along the side body while maintaining grounded stability.;Stretches side body|Improves spinal mobility|Enhances breath capacity;Avoid collapsing chest|Move within comfort;Acute shoulder injury|Severe spinal pain;Sit tall|Extend one arm overhead|Side bend gently|Keep opposite hip grounded;Lengthen both sides of waist|Keep shoulders relaxed;Reduce range|Support with block;Dynamic side stretch;seated|side-bend|spine;yoga mat;beginner;seated;spine;ribs|shoulders;30;false;true;false;true;published;Seated Side Stretch Yoga Pose;Learn a gentle seated side stretch to release tension and improve breath.;Yoga practitioner performing a seated side stretch.;Yoga practitioner performing kneeling side stretch pose.
FLOW-7-8-9-10-11-12-13-14.112.png;seated-forward-fold;Seated Forward Fold;Paschimottanasana;Paschimottanasana;A calming forward fold that lengthens the spine and hamstrings.;Seated Forward Fold is a classic yoga posture that encourages introspection while stretching the back body and soothing the nervous system.;Stretches hamstrings|Calms mind|Improves digestion;Avoid rounding lower back|Fold from hips;Disc herniation|Severe hamstring strain;Sit tall|Hinge forward|Reach toward feet|Relax neck;Lengthen spine before folding;Use strap|Bend knees;Dynamic forward fold;seated|forward-fold|hamstrings;yoga mat;beginner;seated;hamstrings;spine;45;false;false;true;true;published;Seated Forward Fold (Paschimottanasana);Practice Paschimottanasana safely to calm the mind and stretch the back body.;Yoga practitioner performing seated forward fold.;Yoga pose showing kneeling half split stretch.
FLOW-7-8-9-10-11-12-13-14.113.png;seated-staff-pose;Staff Pose;Dandasana;Dandasana;An upright seated posture that builds awareness and posture.;Staff Pose is a foundational seated position emphasizing spinal alignment, core engagement, and active legs.;Improves posture|Strengthens core|Builds body awareness;Avoid locking knees|Sit on support if needed;Severe lower back pain;Sit upright|Extend legs forward|Engage thighs|Lift chest;Spine tall|Feet flexed|Shoulders relaxed;Sit on blanket;Supported staff pose;seated|foundation|posture;yoga mat;beginner;seated;posture;core;30;false;true;false;true;published;Staff Pose (Dandasana);Learn proper alignment for Staff Pose to support seated postures.;Yoga practitioner sitting upright in Staff Pose.;Yoga practitioner performing kneeling side bend with twist.
FLOW-7-8-9-10-11-12-13-14.114.png;seated-prayer;Seated Prayer Pose;Sukhasana;Sukhasana;A comfortable seated pose that supports calm and focus.;Seated Prayer Pose is often used for meditation and breath awareness, encouraging stillness and upright posture.;Calms mind|Improves focus|Supports meditation;Avoid slouching;Hip injury without support;Sit comfortably|Bring palms together|Lengthen spine|Soften breath;Head over heart|Relax shoulders;Sit on block;Meditative seat;seated|meditation|calming;yoga mat;beginner;seated;mind;spine;60;false;true;true;true;published;Seated Prayer Pose;A simple seated posture for meditation and grounding.;Yoga practitioner seated with hands in prayer.;Low lunge yoga pose with hands on hips.
FLOW-7-8-9-10-11-12-13-14.115.png;seated-arms-overhead;Seated Arms Overhead Stretch;Urdhva Hastasana;Urdhva Hastasana;A seated stretch that lengthens the spine and arms.;This posture brings awareness to posture and breath while gently opening shoulders and upper body.;Stretches shoulders|Improves posture|Enhances breathing;Avoid shrugging shoulders;Shoulder injury;Sit tall|Lift arms overhead|Engage core|Breathe steadily;Arms aligned with ears|Ribs contained;Bend elbows;Dynamic arm stretch;seated|stretch|shoulders;yoga mat;beginner;seated;shoulders;spine;30;false;true;false;true;published;Seated Arms Overhead Stretch;Open the shoulders and lengthen the spine in this seated stretch.;Yoga practitioner raising arms overhead while seated.;Yoga practitioner in runner’s lunge position.
FLOW-7-8-9-10-11-12-13-14.116.png;seated-forward-reach;Seated Forward Reach;Paschimottanasana;Paschimottanasana;A gentle variation of forward folding with support.;This variation of Seated Forward Fold focuses on spinal length and controlled movement rather than depth.;Improves flexibility|Calms nervous system;Avoid forcing depth;Acute back pain;Sit tall|Reach forward|Pause|Breathe;Spine long|Neck relaxed;Use strap;Gentle forward fold;seated|forward-fold|gentle;yoga mat;beginner;seated;spine;hamstrings;40;false;false;true;true;published;Gentle Seated Forward Reach;A supported forward fold for flexibility and relaxation.;Yoga practitioner gently reaching forward while seated.;Yoga practitioner performing crescent lunge with arms raised.
FLOW-7-8-9-10-11-12-13-14.117.png;seated-prayer-upright;Upright Seated Prayer;Sukhasana;Sukhasana;An upright seated posture emphasizing alignment and calm.;This pose promotes mindful breathing and spinal awareness while seated comfortably.;Improves posture|Enhances mindfulness;Avoid tension in shoulders;Hip discomfort;Sit tall|Hands at heart|Soften gaze;Neutral spine|Relax jaw;Sit on cushion;Meditative posture;seated|meditation|alignment;yoga mat;beginner;seated;mind;spine;60;false;true;true;true;published;Upright Seated Prayer Pose;A grounding seated posture for meditation and breathwork.;Yoga practitioner seated upright with hands in prayer.;Yoga practitioner in forearm lunge pose.
FLOW-7-8-9-10-11-12-13-14.118.png;seated-arms-up;Seated Arm Lift;Urdhva Hastasana;Urdhva Hastasana;A seated arm lift that energizes the upper body.;This posture builds awareness in shoulders and spine while maintaining a grounded seated base.;Improves circulation|Strengthens shoulders;Avoid arching lower back;Shoulder pain;Sit tall|Lift arms|Engage core;Ribs stacked|Neck neutral;Lower arms slightly;Dynamic arm lift;seated|arms|energizing;yoga mat;beginner;seated;shoulders;core;30;false;true;false;true;published;Seated Arm Lift;An energizing seated pose to awaken the upper body.;Yoga practitioner lifting arms while seated.;Yoga practitioner performing prayer twist lunge.
FLOW-7-8-9-10-11-12-13-14.119.png;seated-forward-hold;Seated Forward Hold;Paschimottanasana;Paschimottanasana;A sustained forward fold promoting relaxation.;Holding the forward fold encourages deeper release and introspection.;Stretches back body|Reduces stress;Avoid bouncing;Disc injury;Fold forward|Hold gently|Breathe slowly;Even weight|Relax neck;Use bolster;Restorative forward fold;seated|restorative|forward-fold;yoga mat;beginner;seated;relaxation;hamstrings;60;false;false;true;true;published;Seated Forward Hold;A calming forward fold held for relaxation.;Yoga practitioner holding a seated forward fold.;Yoga practitioner in side angle pose variation.
FLOW-7-8-9-10-11-12-13-14.120.png;seated-side-bend-hold;Seated Side Bend Hold;Parsva Sukhasana;Parsva Sukhasana;A held side bend to deepen lateral stretch.;This variation emphasizes stillness and breath while opening the side body.;Increases flexibility|Improves breath awareness;Avoid collapsing;Shoulder strain;Side bend gently|Hold|Breathe into ribs;Length through both sides;Reduce depth;Restorative side bend;seated|side-bend|stretch;yoga mat;beginner;seated;side body;ribs;45;false;false;true;true;published;Seated Side Bend Hold;Hold a gentle side bend to open the ribs and calm the breath.;Yoga practitioner holding a seated side bend.;Yoga practitioner in wide stance prayer squat.
