poses-11-20-fixed
image_original_filename;slug;english_name;sanskrit_name;sanskrit_name_simplified;pronunciation;short_description;description;benefits;cautions;contraindications;step_by_step;alignment_cues;modifications;variations;tags;equipment;difficulty;pose_type;primary_focus;secondary_focus;duration_hint_seconds;is_peak_pose;is_warmup;is_cooldown;is_bilateral;status;meta_title;meta_description;image_alt
FLOW-7-8-9-10-11-12-13-14.051.png;kneeling-side-stretch;Kneeling Side Stretch;Parighasana;Parighasana;pah-ree-GAHS-uh-nuh;A deep kneeling side stretch that opens the ribs and hips.;Parighasana gently stretches the side body while improving hip mobility and spinal flexibility. It is often used as a preparatory pose for deeper lateral stretches.;Stretches side body|Improves spinal mobility|Opens hips|Enhances breath capacity;Move slowly into the stretch|Avoid collapsing into shoulder;Knee injury|Severe hip pain;Kneel on one knee|Extend opposite leg to side|Reach arm overhead|Bend laterally;Keep chest open|Ground through knees|Lengthen both sides equally;Use block under hand|Reduce depth of bend;Dynamic side stretch|Arm bind variation;kneeling|side stretch|hips|spine;none;beginner;kneeling;side body;hips;30;false;true;false;true;published;Kneeling Side Stretch (Parighasana) Guide;Learn how to safely practice Kneeling Side Stretch with alignment tips and benefits.;Yoga practitioner performing kneeling side stretch pose.
FLOW-7-8-9-10-11-12-13-14.052.png;half-split-kneeling;Half Split Pose;Ardha Hanumanasana;Ardha Hanumanasana;AR-dah hah-noo-mah-NAHS-uh-nuh;A kneeling hamstring stretch that lengthens the back of the legs.;Ardha Hanumanasana is a foundational hamstring stretch that prepares the body for full splits while improving flexibility and balance.;Stretches hamstrings|Improves flexibility|Supports hip mobility;Avoid locking knee|Keep spine long;Hamstring tear|Knee injury;Start in low lunge|Shift hips back|Straighten front leg|Flex toes;Square hips|Lengthen spine|Relax shoulders;Use blocks under hands|Bend knee slightly;Dynamic half split|Forward fold variation;hamstrings|kneeling|stretch;none;beginner;kneeling;hamstrings;hips;30;false;true;false;true;published;Half Split Pose (Ardha Hanumanasana);Step-by-step guide to Half Split Pose for hamstring flexibility.;Yoga pose showing kneeling half split stretch.
FLOW-7-8-9-10-11-12-13-14.053.png;kneeling-side-bend-twist;Kneeling Side Bend Twist;Parivrtta Parighasana;Parivrtta Parighasana;pahr-ee-VREE-tah pah-ree-GAHS-uh-nuh;A kneeling side bend with gentle spinal rotation.;This variation of Parighasana adds rotation to stretch the side body and spine while improving coordination and balance.;Improves spinal rotation|Stretches obliques|Enhances mobility;Move with breath|Avoid forcing twist;Spinal disc issues|Recent surgery;Kneel with legs crossed|Reach arm overhead|Add gentle twist;Lengthen before twisting|Keep hips grounded;Reduce twist|Support knee with padding;Side bend flow|Twist hold;kneeling|twist|side body;none;intermediate;kneeling;spine;obliques;30;false;true;false;true;published;Kneeling Side Bend Twist Yoga Pose;Explore kneeling side bend twist with benefits and alignment cues.;Yoga practitioner performing kneeling side bend with twist.
FLOW-7-8-9-10-11-12-13-14.054.png;low-lunge-hands-on-hips;Low Lunge Hands on Hips;Anjaneyasana;Anjaneyasana;ahn-jah-neh-YAHS-uh-nuh;A grounded low lunge that strengthens legs and opens hips.;Anjaneyasana builds strength in the lower body while opening hip flexors and improving posture and balance.;Strengthens legs|Opens hip flexors|Improves balance;Keep knee aligned|Avoid collapsing lower back;Knee pain|Hip replacement;Step one foot forward|Lower back knee|Hands on hips|Sink hips gently;Stack shoulders over hips|Engage core;Use blocks|Pad back knee;High lunge variation|Backbend variation;lunge|hips|strength;none;beginner;lunge;hips;legs;30;false;true;false;true;published;Low Lunge (Anjaneyasana) with Hands on Hips;A beginner-friendly low lunge for hip opening and strength.;Low lunge yoga pose with hands on hips.
FLOW-7-8-9-10-11-12-13-14.055.png;runners-lunge;Runner’s Lunge;Utthita Ashwa Sanchalanasana;Ashwa Sanchalanasana;OOT-tee-tah AHSH-vah sahn-chah-lah-NAHS-uh-nuh;A dynamic lunge that builds strength and flexibility.;Runner’s Lunge stretches the hip flexors and hamstrings while strengthening legs and improving stability.;Strengthens legs|Improves mobility|Enhances balance;Avoid locking joints|Keep neck long;Ankle injury|Knee pain;Step foot forward|Hands on floor|Extend back leg|Lift chest;Engage legs|Lengthen spine;Drop back knee|Use blocks;Twisting lunge|Flow transitions;lunge|strength|mobility;none;beginner;lunge;legs;hips;30;false;true;false;true;published;Runner’s Lunge Yoga Pose Guide;Learn proper alignment and benefits of Runner’s Lunge.;Yoga practitioner in runner’s lunge position.
FLOW-7-8-9-10-11-12-13-14.056.png;crescent-lunge;Crescent Lunge;Anjaneyasana;Anjaneyasana;ahn-jah-neh-YAHS-uh-nuh;A strong standing lunge with arms overhead.;Crescent Lunge builds lower-body strength and balance while opening the chest and shoulders.;Strengthens legs|Improves balance|Opens chest;Avoid overarching lower back;Low back pain|Balance issues;From lunge lift torso|Raise arms|Bend front knee;Stack joints|Engage core;Lower arms|Shorten stance;Backbend crescent|Twist variation;lunge|standing|strength;none;intermediate;lunge;legs;core;30;true;false;false;true;published;Crescent Lunge (Anjaneyasana) Yoga Pose;Build strength and balance with Crescent Lunge.;Yoga practitioner performing crescent lunge with arms raised.
FLOW-7-8-9-10-11-12-13-14.057.png;forearm-lunge;Forearm Lunge;Utthan Pristhasana;Lizard Pose;OOTH-ahn prees-TAHS-uh-nuh;A deep hip-opening lunge on forearms.;This variation of Lizard Pose targets deep hip flexibility and prepares the body for advanced poses.;Deep hip opening|Improves flexibility|Releases tension;Move gradually|Support knees;Hip injury|Knee pain;From lunge lower forearms|Sink hips gently|Breathe deeply;Keep spine long|Relax shoulders;Use blocks|Stay on hands;Dynamic lizard|Twisted lizard;hip opener|lunge|stretch;none;intermediate;lunge;hips;groin;40;true;false;false;true;published;Forearm Lunge (Lizard Pose) Guide;Deep hip-opening lunge with alignment tips.;Yoga practitioner in forearm lunge pose.
FLOW-7-8-9-10-11-12-13-14.058.png;prayer-twist-lunge;Prayer Twist Lunge;Parivrtta Anjaneyasana;Parivrtta Anjaneyasana;pahr-ee-VREE-tah ahn-jah-neh-YAHS-uh-nuh;A twisting lunge that builds strength and detoxifies.;Prayer Twist Lunge strengthens legs and core while improving spinal rotation and balance.;Improves balance|Strengthens legs|Enhances digestion;Avoid forcing twist;Spinal issues|Pregnancy;From lunge bring hands to prayer|Twist toward front knee|Hold steady;Lengthen spine|Engage core;Lower back knee|Reduce twist;Open arm twist|Revolved crescent;twist|lunge|balance;none;intermediate;lunge;core;spine;30;true;false;false;true;published;Prayer Twist Lunge Yoga Pose;Learn how to safely practice twisting lunge.;Yoga practitioner performing prayer twist lunge.
FLOW-7-8-9-10-11-12-13-14.059.png;side-angle-variation;Side Angle Pose Variation;Utthita Parsvakonasana;Parsvakonasana;OOT-tee-tah pahrsh-vah-koh-NAHS-uh-nuh;A strong side angle pose emphasizing reach and rotation.;This variation strengthens legs while stretching the side body and improving overall stability.;Strengthens legs|Stretches side body|Improves stamina;Keep knee aligned|Avoid shoulder collapse;Knee injury|Shoulder pain;From lunge lower hand|Reach opposite arm up|Rotate chest;Ground through feet|Open chest;Use block|Shorten stance;Bound side angle|Flow sequence;standing|side bend|strength;none;intermediate;standing;legs;side body;30;true;false;false;true;published;Side Angle Pose Variation Guide;Explore benefits and alignment for Side Angle Pose.;Yoga practitioner in side angle pose variation.
FLOW-7-8-9-10-11-12-13-14.060.png;wide-stance-prayer-squat;Wide Stance Prayer Squat;Malasana;Malasana;mah-LAHS-uh-nuh;A grounding wide squat with hands in prayer.;This variation of Malasana improves hip mobility and balance while encouraging mindful breathing.;Opens hips|Improves balance|Strengthens legs;Avoid knee collapse;Ankle injury|Knee pain;Stand wide|Bend knees|Bring hands to prayer|Lower hips;Keep chest lifted|Press elbows into knees;Use block under heels|Higher squat;Dynamic squat|Twist variation;squat|hips|grounding;none;beginner;squat;hips;legs;30;false;true;true;true;published;Wide Stance Prayer Squat (Malasana);A grounding squat pose for hip opening and stability.;Yoga practitioner in wide stance prayer squat.
